kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, summer 2, Tuesday,5261,16.6
frame,lgw,Year 1, summer 2, Tuesday,5262,16.7
frame,lgw,Year 1, summer 2, Tuesday,5263,16.8
frame,lgw,Year 1, summer 2, Tuesday,5264,16.6
frame,lgw,Year 1, summer 2, Tuesday,5265,17.5
frame,lgw,Year 1, summer 2, Tuesday,5266,15.9
frame,lgw,Year 1, summer 2, Tuesday,5267,16.6
frame,lgw,Year 1, summer 2, Tuesday,5268,16.6
frame,lgw,Year 1, summer 2, Tuesday,5269,16.6
frame,lgw,Year 1, summer 2, Tuesday,5270,16.7
frame,lgw,Year 1, summer 2, Tuesday,5271,17.1
frame,lgw,Year 1, summer 2, Tuesday,5272,16.2
frame,lgw,Year 1, summer 2, Tuesday,5273,16.6
frame,lgw,Year 1, summer 2, Tuesday,5274,16.7
frame,lgw,Year 1, summer 2, Tuesday,5275,16.9
frame,lgw,Year 1, summer 2, Tuesday,5276,16.4
frame,lgw,Year 1, summer 2, Tuesday,5277,17.1
frame,lgw,Year 1, summer 2, Tuesday,5278,16.5
frame,lgw,Year 1, summer 2, Tuesday,5279,16.6
frame,lgw,Year 1, summer 2, Tuesday,5280,16.6
frame,lgw,Year 1, summer 2, Tuesday,5281,16.9
frame,lgw,Year 1, summer 2, Tuesday,5282,16.3
frame,lgw,Year 1, summer 2, Tuesday,5283,17.0
frame,lgw,Year 1, summer 2, Tuesday,5284,17.0
frame,lgw,Year 1, summer 2, Tuesday,5285,16.7
frame,lgw,Year 1, summer 2, Tuesday,5286,15.9
frame,lgw,Year 1, summer 2, Tuesday,5287,16.8
frame,lgw,Year 1, summer 2, Tuesday,5288,16.5
frame,lgw,Year 1, summer 2, Tuesday,5289,16.8
frame,lgw,Year 1, summer 2, Tuesday,5290,16.5
frame,lgw,Year 1, summer 2, Tuesday,5291,16.7
frame,lgw,Year 1, summer 2, Tuesday,5292,16.7
frame,lgw,Year 1, summer 2, Tuesday,5293,16.6
frame,lgw,Year 1, summer 2, Tuesday,5294,16.6
frame,lgw,Year 1, summer 2, Tuesday,5295,16.7
frame,lgw,Year 1, summer 2, Tuesday,5296,16.7
frame,lgw,Year 1, summer 2, Tuesday,5297,16.7
frame,lgw,Year 1, summer 2, Tuesday,5298,16.7
frame,lgw,Year 1, summer 2, Tuesday,5299,16.7
frame,lgw,Year 1, summer 2, Tuesday,5300,16.7
frame,lgw,Year 1, summer 2, Tuesday,5301,16.7
frame,lgw,Year 1, summer 2, Tuesday,5302,16.6
frame,lgw,Year 1, summer 2, Tuesday,5303,18.8
frame,lgw,Year 1, summer 2, Tuesday,5304,14.6
frame,lgw,Year 1, summer 2, Tuesday,5305,16.6
frame,lgw,Year 1, summer 2, Tuesday,5306,16.7
frame,lgw,Year 1, summer 2, Tuesday,5307,16.7
frame,lgw,Year 1, summer 2, Tuesday,5308,16.6
frame,lgw,Year 1, summer 2, Tuesday,5309,16.8
frame,lgw,Year 1, summer 2, Tuesday,5310,16.5
frame,lgw,Year 1, summer 2, Tuesday,5311,20.3
frame,lgw,Year 1, summer 2, Tuesday,5312,13.3
frame,lgw,Year 1, summer 2, Tuesday,5313,16.5
frame,lgw,Year 1, summer 2, Tuesday,5314,16.7
frame,lgw,Year 1, summer 2, Tuesday,5315,16.6
frame,lgw,Year 1, summer 2, Tuesday,5316,16.8
frame,lgw,Year 1, summer 2, Tuesday,5317,16.7
frame,lgw,Year 1, summer 2, Tuesday,5318,16.5
frame,lgw,Year 1, summer 2, Tuesday,5319,16.6
frame,lgw,Year 1, summer 2, Tuesday,5320,17.8
frame,lgw,Year 1, summer 2, Tuesday,5321,15.6
frame,lgw,Year 1, summer 2, Tuesday,5322,16.7
frame,lgw,Year 1, summer 2, Tuesday,5323,16.6
frame,lgw,Year 1, summer 2, Tuesday,5324,16.8
frame,lgw,Year 1, summer 2, Tuesday,5325,16.5
frame,lgw,Year 1, summer 2, Tuesday,5326,16.7
frame,lgw,Year 1, summer 2, Tuesday,5327,16.7
frame,lgw,Year 1, summer 2, Tuesday,5328,16.6
frame,lgw,Year 1, summer 2, Tuesday,5329,16.7
frame,lgw,Year 1, summer 2, Tuesday,5330,16.7
frame,lgw,Year 1, summer 2, Tuesday,5331,17.2
frame,lgw,Year 1, summer 2, Tuesday,5332,16.1
frame,lgw,Year 1, summer 2, Tuesday,5333,16.6
frame,lgw,Year 1, summer 2, Tuesday,5334,16.6
frame,lgw,Year 1, summer 2, Tuesday,5335,16.7
frame,lgw,Year 1, summer 2, Tuesday,5336,16.6
frame,lgw,Year 1, summer 2, Tuesday,5337,16.8
frame,lgw,Year 1, summer 2, Tuesday,5338,16.6
frame,lgw,Year 1, summer 2, Tuesday,5339,16.8
frame,lgw,Year 1, summer 2, Tuesday,5340,17.7
frame,lgw,Year 1, summer 2, Tuesday,5341,15.5
frame,lgw,Year 1, summer 2, Tuesday,5342,16.6
frame,lgw,Year 1, summer 2, Tuesday,5343,16.8
frame,lgw,Year 1, summer 2, Tuesday,5344,16.9
frame,lgw,Year 1, summer 2, Tuesday,5345,16.2
frame,lgw,Year 1, summer 2, Tuesday,5346,18.0
frame,lgw,Year 1, summer 2, Tuesday,5347,15.3
frame,lgw,Year 1, summer 2, Tuesday,5348,16.7
frame,lgw,Year 1, summer 2, Tuesday,5349,16.6
frame,lgw,Year 1, summer 2, Tuesday,5350,16.7
frame,lgw,Year 1, summer 2, Tuesday,5351,16.6
frame,lgw,Year 1, summer 2, Tuesday,5352,16.7
frame,lgw,Year 1, summer 2, Tuesday,5353,17.9
frame,lgw,Year 1, summer 2, Tuesday,5354,15.4
frame,lgw,Year 1, summer 2, Tuesday,5355,16.8
frame,lgw,Year 1, summer 2, Tuesday,5356,16.6
frame,lgw,Year 1, summer 2, Tuesday,5357,16.6
frame,lgw,Year 1, summer 2, Tuesday,5358,16.7
frame,lgw,Year 1, summer 2, Tuesday,5359,16.8
frame,lgw,Year 1, summer 2, Tuesday,5360,16.6
frame,lgw,Year 1, summer 2, Tuesday,5361,16.7
frame,lgw,Year 1, summer 2, Tuesday,5362,16.7
frame,lgw,Year 1, summer 2, Tuesday,5363,16.6
frame,lgw,Year 1, summer 2, Tuesday,5364,16.8
frame,lgw,Year 1, summer 2, Tuesday,5365,16.7
frame,lgw,Year 1, summer 2, Tuesday,5366,16.8
frame,lgw,Year 1, summer 2, Tuesday,5367,16.5
frame,lgw,Year 1, summer 2, Tuesday,5368,16.7
frame,lgw,Year 1, summer 2, Tuesday,5369,16.6
frame,lgw,Year 1, summer 2, Tuesday,5370,16.7
frame,lgw,Year 1, summer 2, Tuesday,5371,16.8
frame,lgw,Year 1, summer 2, Tuesday,5372,18.6
frame,lgw,Year 1, summer 2, Tuesday,5373,15.5
frame,lgw,Year 1, summer 2, Tuesday,5374,15.7
frame,lgw,Year 1, summer 2, Tuesday,5375,18.4
frame,lgw,Year 1, summer 2, Tuesday,5376,15.3
frame,lgw,Year 1, summer 2, Tuesday,5377,16.2
frame,lgw,Year 1, summer 2, Tuesday,5378,22.6
frame,lgw,Year 1, summer 2, Tuesday,5379,10.8
frame,lgw,Year 1, summer 2, Tuesday,5380,16.7
frame,lgw,Year 1, summer 2, Tuesday,5381,16.7
frame,lgw,Year 1, summer 2, Tuesday,5382,16.7
frame,lgw,Year 1, summer 2, Tuesday,5383,16.7
frame,lgw,Year 1, summer 2, Tuesday,5384,16.7
frame,lgw,Year 1, summer 2, Tuesday,5385,16.8
frame,lgw,Year 1, summer 2, Tuesday,5386,16.5
frame,lgw,Year 1, summer 2, Tuesday,5387,16.7
frame,lgw,Year 1, summer 2, Tuesday,5388,16.8
frame,lgw,Year 1, summer 2, Tuesday,5389,16.5
frame,lgw,Year 1, summer 2, Tuesday,5390,16.6
frame,lgw,Year 1, summer 2, Tuesday,5391,16.8
frame,lgw,Year 1, summer 2, Tuesday,5392,16.6
frame,lgw,Year 1, summer 2, Tuesday,5393,16.6
frame,lgw,Year 1, summer 2, Tuesday,5394,16.8
frame,lgw,Year 1, summer 2, Tuesday,5395,16.6
frame,lgw,Year 1, summer 2, Tuesday,5396,16.5
frame,lgw,Year 1, summer 2, Tuesday,5397,16.7
frame,lgw,Year 1, summer 2, Tuesday,5398,16.7
frame,lgw,Year 1, summer 2, Tuesday,5399,16.8
frame,lgw,Year 1, summer 2, Tuesday,5400,16.6
frame,lgw,Year 1, summer 2, Tuesday,5401,16.6
frame,lgw,Year 1, summer 2, Tuesday,5402,16.7
frame,lgw,Year 1, summer 2, Tuesday,5403,16.6
frame,lgw,Year 1, summer 2, Tuesday,5404,16.7
frame,lgw,Year 1, summer 2, Tuesday,5405,16.6
frame,lgw,Year 1, summer 2, Tuesday,5406,16.6
frame,lgw,Year 1, summer 2, Tuesday,5407,16.7
frame,lgw,Year 1, summer 2, Tuesday,5408,16.9
frame,lgw,Year 1, summer 2, Tuesday,5409,16.7
frame,lgw,Year 1, summer 2, Tuesday,5410,16.6
frame,lgw,Year 1, summer 2, Tuesday,5411,16.6
frame,lgw,Year 1, summer 2, Tuesday,5412,16.7
frame,lgw,Year 1, summer 2, Tuesday,5413,16.8
frame,lgw,Year 1, summer 2, Tuesday,5414,16.8
frame,lgw,Year 1, summer 2, Tuesday,5415,16.6
frame,lgw,Year 1, summer 2, Tuesday,5416,16.6
frame,lgw,Year 1, summer 2, Tuesday,5417,16.6
frame,lgw,Year 1, summer 2, Tuesday,5418,16.7
frame,lgw,Year 1, summer 2, Tuesday,5419,16.6
frame,lgw,Year 1, summer 2, Tuesday,5420,16.8
frame,lgw,Year 1, summer 2, Tuesday,5421,16.6
frame,lgw,Year 1, summer 2, Tuesday,5422,16.8
frame,lgw,Year 1, summer 2, Tuesday,5423,16.4
frame,lgw,Year 1, summer 2, Tuesday,5424,16.8
frame,lgw,Year 1, summer 2, Tuesday,5425,16.6
frame,lgw,Year 1, summer 2, Tuesday,5426,16.6
frame,lgw,Year 1, summer 2, Tuesday,5427,16.9
frame,lgw,Year 1, summer 2, Tuesday,5428,16.7
frame,lgw,Year 1, summer 2, Tuesday,5429,16.9
frame,lgw,Year 1, summer 2, Tuesday,5430,16.2
frame,lgw,Year 1, summer 2, Tuesday,5431,16.7
frame,lgw,Year 1, summer 2, Tuesday,5432,16.8
frame,lgw,Year 1, summer 2, Tuesday,5433,16.6
frame,lgw,Year 1, summer 2, Tuesday,5434,16.7
frame,lgw,Year 1, summer 2, Tuesday,5435,16.6
frame,lgw,Year 1, summer 2, Tuesday,5436,16.6
frame,lgw,Year 1, summer 2, Tuesday,5437,16.6
frame,lgw,Year 1, summer 2, Tuesday,5438,16.7
frame,lgw,Year 1, summer 2, Tuesday,5439,18.3
frame,lgw,Year 1, summer 2, Tuesday,5440,15.4
frame,lgw,Year 1, summer 2, Tuesday,5441,16.3
frame,lgw,Year 1, summer 2, Tuesday,5442,16.7
frame,lgw,Year 1, summer 2, Tuesday,5443,16.7
frame,lgw,Year 1, summer 2, Tuesday,5444,16.8
frame,lgw,Year 1, summer 2, Tuesday,5445,16.6
frame,lgw,Year 1, summer 2, Tuesday,5446,16.8
frame,lgw,Year 1, summer 2, Tuesday,5447,16.5
frame,lgw,Year 1, summer 2, Tuesday,5448,16.7
frame,lgw,Year 1, summer 2, Tuesday,5449,16.7
frame,lgw,Year 1, summer 2, Tuesday,5450,16.6
frame,lgw,Year 1, summer 2, Tuesday,5451,16.6
frame,lgw,Year 1, summer 2, Tuesday,5452,16.7
frame,lgw,Year 1, summer 2, Tuesday,5453,16.8
frame,lgw,Year 1, summer 2, Tuesday,5454,17.3
frame,lgw,Year 1, summer 2, Tuesday,5455,15.9
frame,lgw,Year 1, summer 2, Tuesday,5456,16.6
frame,lgw,Year 1, summer 2, Tuesday,5457,16.7
frame,lgw,Year 1, summer 2, Tuesday,5458,16.6
frame,lgw,Year 1, summer 2, Tuesday,5459,16.7
frame,lgw,Year 1, summer 2, Tuesday,5460,17.1
frame,lgw,Year 1, summer 2, Tuesday,5461,16.5
frame,lgw,Year 1, summer 2, Tuesday,5462,16.4
frame,lgw,Year 1, summer 2, Tuesday,5463,16.7
frame,lgw,Year 1, summer 2, Tuesday,5464,16.6
frame,lgw,Year 1, summer 2, Tuesday,5465,16.6
frame,lgw,Year 1, summer 2, Tuesday,5466,16.6
frame,lgw,Year 1, summer 2, Tuesday,5467,16.7
frame,lgw,Year 1, summer 2, Tuesday,5468,16.7
frame,lgw,Year 1, summer 2, Tuesday,5469,16.6
frame,lgw,Year 1, summer 2, Tuesday,5470,16.9
frame,lgw,Year 1, summer 2, Tuesday,5471,16.6
frame,lgw,Year 1, summer 2, Tuesday,5472,16.6
frame,lgw,Year 1, summer 2, Tuesday,5473,16.6
