kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 5, Friday,2246,16.7
frame,lgw,Year 1, spring 5, Friday,2247,16.7
frame,lgw,Year 1, spring 5, Friday,2248,16.7
frame,lgw,Year 1, spring 5, Friday,2249,16.7
frame,lgw,Year 1, spring 5, Friday,2250,16.6
frame,lgw,Year 1, spring 5, Friday,2251,16.7
frame,lgw,Year 1, spring 5, Friday,2252,16.6
frame,lgw,Year 1, spring 5, Friday,2253,31.0
frame,lgw,Year 1, spring 5, Friday,2254,2.8
frame,lgw,Year 1, spring 5, Friday,2255,16.3
frame,lgw,Year 1, spring 5, Friday,2256,16.7
frame,lgw,Year 1, spring 5, Friday,2257,21.9
frame,lgw,Year 1, spring 5, Friday,2258,11.4
frame,lgw,Year 1, spring 5, Friday,2259,16.7
frame,lgw,Year 1, spring 5, Friday,2260,16.6
frame,lgw,Year 1, spring 5, Friday,2261,16.7
frame,lgw,Year 1, spring 5, Friday,2262,16.7
frame,lgw,Year 1, spring 5, Friday,2263,16.7
frame,lgw,Year 1, spring 5, Friday,2264,16.6
frame,lgw,Year 1, spring 5, Friday,2265,16.6
frame,lgw,Year 1, spring 5, Friday,2266,16.8
frame,lgw,Year 1, spring 5, Friday,2267,16.6
frame,lgw,Year 1, spring 5, Friday,2268,16.7
frame,lgw,Year 1, spring 5, Friday,2269,16.7
frame,lgw,Year 1, spring 5, Friday,2270,16.7
frame,lgw,Year 1, spring 5, Friday,2271,16.6
frame,lgw,Year 1, spring 5, Friday,2272,17.6
frame,lgw,Year 1, spring 5, Friday,2273,15.8
frame,lgw,Year 1, spring 5, Friday,2274,16.6
frame,lgw,Year 1, spring 5, Friday,2275,17.6
frame,lgw,Year 1, spring 5, Friday,2276,15.8
frame,lgw,Year 1, spring 5, Friday,2277,16.6
frame,lgw,Year 1, spring 5, Friday,2278,16.7
frame,lgw,Year 1, spring 5, Friday,2279,16.7
frame,lgw,Year 1, spring 5, Friday,2280,16.6
frame,lgw,Year 1, spring 5, Friday,2281,16.6
frame,lgw,Year 1, spring 5, Friday,2282,16.7
frame,lgw,Year 1, spring 5, Friday,2283,16.7
frame,lgw,Year 1, spring 5, Friday,2284,16.7
frame,lgw,Year 1, spring 5, Friday,2285,16.6
frame,lgw,Year 1, spring 5, Friday,2286,16.6
frame,lgw,Year 1, spring 5, Friday,2287,16.8
frame,lgw,Year 1, spring 5, Friday,2288,16.7
frame,lgw,Year 1, spring 5, Friday,2289,16.6
frame,lgw,Year 1, spring 5, Friday,2290,16.6
frame,lgw,Year 1, spring 5, Friday,2291,16.7
frame,lgw,Year 1, spring 5, Friday,2292,28.1
frame,lgw,Year 1, spring 5, Friday,2293,5.1
frame,lgw,Year 1, spring 5, Friday,2294,16.7
frame,lgw,Year 1, spring 5, Friday,2295,16.9
frame,lgw,Year 1, spring 5, Friday,2296,16.5
frame,lgw,Year 1, spring 5, Friday,2297,16.7
frame,lgw,Year 1, spring 5, Friday,2298,16.7
frame,lgw,Year 1, spring 5, Friday,2299,16.7
frame,lgw,Year 1, spring 5, Friday,2300,16.7
frame,lgw,Year 1, spring 5, Friday,2301,16.7
frame,lgw,Year 1, spring 5, Friday,2302,16.8
frame,lgw,Year 1, spring 5, Friday,2303,28.2
frame,lgw,Year 1, spring 5, Friday,2304,8.9
frame,lgw,Year 1, spring 5, Friday,2305,12.7
frame,lgw,Year 1, spring 5, Friday,2306,16.6
frame,lgw,Year 1, spring 5, Friday,2307,16.7
frame,lgw,Year 1, spring 5, Friday,2308,16.7
frame,lgw,Year 1, spring 5, Friday,2309,16.7
frame,lgw,Year 1, spring 5, Friday,2310,16.6
frame,lgw,Year 1, spring 5, Friday,2311,16.6
frame,lgw,Year 1, spring 5, Friday,2312,16.7
frame,lgw,Year 1, spring 5, Friday,2313,16.7
frame,lgw,Year 1, spring 5, Friday,2314,16.8
frame,lgw,Year 1, spring 5, Friday,2315,16.5
frame,lgw,Year 1, spring 5, Friday,2316,16.6
frame,lgw,Year 1, spring 5, Friday,2317,16.7
frame,lgw,Year 1, spring 5, Friday,2318,19.7
frame,lgw,Year 1, spring 5, Friday,2319,13.6
frame,lgw,Year 1, spring 5, Friday,2320,16.7
frame,lgw,Year 1, spring 5, Friday,2321,16.6
frame,lgw,Year 1, spring 5, Friday,2322,16.7
frame,lgw,Year 1, spring 5, Friday,2323,16.6
frame,lgw,Year 1, spring 5, Friday,2324,16.7
frame,lgw,Year 1, spring 5, Friday,2325,16.7
frame,lgw,Year 1, spring 5, Friday,2326,16.6
frame,lgw,Year 1, spring 5, Friday,2327,16.8
frame,lgw,Year 1, spring 5, Friday,2328,16.6
frame,lgw,Year 1, spring 5, Friday,2329,16.7
frame,lgw,Year 1, spring 5, Friday,2330,16.6
frame,lgw,Year 1, spring 5, Friday,2331,16.7
frame,lgw,Year 1, spring 5, Friday,2332,16.6
frame,lgw,Year 1, spring 5, Friday,2333,16.7
frame,lgw,Year 1, spring 5, Friday,2334,16.7
frame,lgw,Year 1, spring 5, Friday,2335,16.7
frame,lgw,Year 1, spring 5, Friday,2336,16.6
frame,lgw,Year 1, spring 5, Friday,2337,16.7
frame,lgw,Year 1, spring 5, Friday,2338,16.8
frame,lgw,Year 1, spring 5, Friday,2339,16.6
frame,lgw,Year 1, spring 5, Friday,2340,16.7
frame,lgw,Year 1, spring 5, Friday,2341,16.6
frame,lgw,Year 1, spring 5, Friday,2342,16.6
frame,lgw,Year 1, spring 5, Friday,2343,16.7
frame,lgw,Year 1, spring 5, Friday,2344,16.8
frame,lgw,Year 1, spring 5, Friday,2345,16.6
frame,lgw,Year 1, spring 5, Friday,2346,16.7
frame,lgw,Year 1, spring 5, Friday,2347,16.6
frame,lgw,Year 1, spring 5, Friday,2348,16.7
frame,lgw,Year 1, spring 5, Friday,2349,16.6
frame,lgw,Year 1, spring 5, Friday,2350,17.0
frame,lgw,Year 1, spring 5, Friday,2351,39.8
frame,lgw,Year 1, spring 5, Friday,2352,6.9
frame,lgw,Year 1, spring 5, Friday,2353,2.9
frame,lgw,Year 1, spring 5, Friday,2354,16.7
frame,lgw,Year 1, spring 5, Friday,2355,16.7
frame,lgw,Year 1, spring 5, Friday,2356,16.7
frame,lgw,Year 1, spring 5, Friday,2357,16.7
frame,lgw,Year 1, spring 5, Friday,2358,16.6
frame,lgw,Year 1, spring 5, Friday,2359,16.6
frame,lgw,Year 1, spring 5, Friday,2360,16.6
frame,lgw,Year 1, spring 5, Friday,2361,16.8
frame,lgw,Year 1, spring 5, Friday,2362,16.6
frame,lgw,Year 1, spring 5, Friday,2363,17.0
frame,lgw,Year 1, spring 5, Friday,2364,16.3
frame,lgw,Year 1, spring 5, Friday,2365,16.6
frame,lgw,Year 1, spring 5, Friday,2366,16.6
frame,lgw,Year 1, spring 5, Friday,2367,16.7
frame,lgw,Year 1, spring 5, Friday,2368,16.6
frame,lgw,Year 1, spring 5, Friday,2369,16.7
frame,lgw,Year 1, spring 5, Friday,2370,16.7
frame,lgw,Year 1, spring 5, Friday,2371,16.7
frame,lgw,Year 1, spring 5, Friday,2372,16.8
frame,lgw,Year 1, spring 5, Friday,2373,16.6
frame,lgw,Year 1, spring 5, Friday,2374,16.8
frame,lgw,Year 1, spring 5, Friday,2375,16.7
frame,lgw,Year 1, spring 5, Friday,2376,16.6
frame,lgw,Year 1, spring 5, Friday,2377,16.6
frame,lgw,Year 1, spring 5, Friday,2378,16.6
frame,lgw,Year 1, spring 5, Friday,2379,16.7
frame,lgw,Year 1, spring 5, Friday,2380,16.7
frame,lgw,Year 1, spring 5, Friday,2381,16.8
frame,lgw,Year 1, spring 5, Friday,2382,16.5
frame,lgw,Year 1, spring 5, Friday,2383,16.7
frame,lgw,Year 1, spring 5, Friday,2384,17.1
frame,lgw,Year 1, spring 5, Friday,2385,16.3
frame,lgw,Year 1, spring 5, Friday,2386,16.7
frame,lgw,Year 1, spring 5, Friday,2387,16.7
frame,lgw,Year 1, spring 5, Friday,2388,16.6
frame,lgw,Year 1, spring 5, Friday,2389,16.6
frame,lgw,Year 1, spring 5, Friday,2390,17.1
frame,lgw,Year 1, spring 5, Friday,2391,16.3
frame,lgw,Year 1, spring 5, Friday,2392,16.8
frame,lgw,Year 1, spring 5, Friday,2393,16.5
frame,lgw,Year 1, spring 5, Friday,2394,16.6
frame,lgw,Year 1, spring 5, Friday,2395,16.7
frame,lgw,Year 1, spring 5, Friday,2396,16.7
frame,lgw,Year 1, spring 5, Friday,2397,16.7
frame,lgw,Year 1, spring 5, Friday,2398,16.7
frame,lgw,Year 1, spring 5, Friday,2399,16.6
frame,lgw,Year 1, spring 5, Friday,2400,16.7
frame,lgw,Year 1, spring 5, Friday,2401,16.6
frame,lgw,Year 1, spring 5, Friday,2402,16.7
frame,lgw,Year 1, spring 5, Friday,2403,16.7
frame,lgw,Year 1, spring 5, Friday,2404,16.6
frame,lgw,Year 1, spring 5, Friday,2405,16.7
frame,lgw,Year 1, spring 5, Friday,2406,16.7
frame,lgw,Year 1, spring 5, Friday,2407,16.6
frame,lgw,Year 1, spring 5, Friday,2408,16.6
frame,lgw,Year 1, spring 5, Friday,2409,16.7
frame,lgw,Year 1, spring 5, Friday,2410,16.7
frame,lgw,Year 1, spring 5, Friday,2411,16.6
frame,lgw,Year 1, spring 5, Friday,2412,16.7
frame,lgw,Year 1, spring 5, Friday,2413,16.7
frame,lgw,Year 1, spring 5, Friday,2414,16.7
frame,lgw,Year 1, spring 5, Friday,2415,16.7
frame,lgw,Year 1, spring 5, Friday,2416,16.6
frame,lgw,Year 1, spring 5, Friday,2417,16.7
frame,lgw,Year 1, spring 5, Friday,2418,16.7
frame,lgw,Year 1, spring 5, Friday,2419,16.7
frame,lgw,Year 1, spring 5, Friday,2420,16.6
frame,lgw,Year 1, spring 5, Friday,2421,16.7
frame,lgw,Year 1, spring 5, Friday,2422,16.6
frame,lgw,Year 1, spring 5, Friday,2423,16.7
frame,lgw,Year 1, spring 5, Friday,2424,16.7
frame,lgw,Year 1, spring 5, Friday,2425,16.9
lag,lgw,Year 1, spring 6, Saturday,2428,420.4
lag,lgw,Year 1, spring 6, Saturday,2429,1950.2
frame,lgw,Year 1, spring 6, Saturday,2426,36.0
frame,lgw,Year 1, spring 6, Saturday,2427,420.4
frame,lgw,Year 1, spring 6, Saturday,2428,500.0
frame,lgw,Year 1, spring 6, Saturday,2429,0.9
frame,lgw,Year 1, spring 6, Saturday,2430,16.8
frame,lgw,Year 1, spring 6, Saturday,2431,16.7
frame,lgw,Year 1, spring 6, Saturday,2432,16.6
frame,lgw,Year 1, spring 6, Saturday,2433,16.7
frame,lgw,Year 1, spring 6, Saturday,2434,16.7
frame,lgw,Year 1, spring 6, Saturday,2435,16.7
frame,lgw,Year 1, spring 6, Saturday,2436,16.6
frame,lgw,Year 1, spring 6, Saturday,2437,16.7
frame,lgw,Year 1, spring 6, Saturday,2438,16.9
frame,lgw,Year 1, spring 6, Saturday,2439,16.7
frame,lgw,Year 1, spring 6, Saturday,2440,16.4
frame,lgw,Year 1, spring 6, Saturday,2441,16.6
frame,lgw,Year 1, spring 6, Saturday,2442,16.6
frame,lgw,Year 1, spring 6, Saturday,2443,16.7
frame,lgw,Year 1, spring 6, Saturday,2444,16.7
frame,lgw,Year 1, spring 6, Saturday,2445,17.0
frame,lgw,Year 1, spring 6, Saturday,2446,16.3
frame,lgw,Year 1, spring 6, Saturday,2447,16.7
frame,lgw,Year 1, spring 6, Saturday,2448,16.6
frame,lgw,Year 1, spring 6, Saturday,2449,16.7
frame,lgw,Year 1, spring 6, Saturday,2450,16.7
frame,lgw,Year 1, spring 6, Saturday,2451,16.7
frame,lgw,Year 1, spring 6, Saturday,2452,16.6
frame,lgw,Year 1, spring 6, Saturday,2453,17.0
frame,lgw,Year 1, spring 6, Saturday,2454,16.2
frame,lgw,Year 1, spring 6, Saturday,2455,16.7
frame,lgw,Year 1, spring 6, Saturday,2456,16.7
frame,lgw,Year 1, spring 6, Saturday,2457,17.2
frame,lgw,Year 1, spring 6, Saturday,2458,16.1
frame,lgw,Year 1, spring 6, Saturday,2459,16.6
frame,lgw,Year 1, spring 6, Saturday,2460,16.9
frame,lgw,Year 1, spring 6, Saturday,2461,17.0
frame,lgw,Year 1, spring 6, Saturday,2462,16.1
frame,lgw,Year 1, spring 6, Saturday,2463,16.7
frame,lgw,Year 1, spring 6, Saturday,2464,16.7
frame,lgw,Year 1, spring 6, Saturday,2465,16.6
frame,lgw,Year 1, spring 6, Saturday,2466,16.9
frame,lgw,Year 1, spring 6, Saturday,2467,16.4
frame,lgw,Year 1, spring 6, Saturday,2468,16.7
frame,lgw,Year 1, spring 6, Saturday,2469,16.6
frame,lgw,Year 1, spring 6, Saturday,2470,16.7
frame,lgw,Year 1, spring 6, Saturday,2471,17.2
frame,lgw,Year 1, spring 6, Saturday,2472,16.2
frame,lgw,Year 1, spring 6, Saturday,2473,16.6
frame,lgw,Year 1, spring 6, Saturday,2474,16.7
frame,lgw,Year 1, spring 6, Saturday,2475,16.9
frame,lgw,Year 1, spring 6, Saturday,2476,16.6
frame,lgw,Year 1, spring 6, Saturday,2477,16.5
frame,lgw,Year 1, spring 6, Saturday,2478,16.7
frame,lgw,Year 1, spring 6, Saturday,2479,16.7
frame,lgw,Year 1, spring 6, Saturday,2480,16.6
frame,lgw,Year 1, spring 6, Saturday,2481,16.6
frame,lgw,Year 1, spring 6, Saturday,2482,16.7
frame,lgw,Year 1, spring 6, Saturday,2483,16.6
frame,lgw,Year 1, spring 6, Saturday,2484,16.7
frame,lgw,Year 1, spring 6, Saturday,2485,16.6
frame,lgw,Year 1, spring 6, Saturday,2486,16.7
frame,lgw,Year 1, spring 6, Saturday,2487,16.6
frame,lgw,Year 1, spring 6, Saturday,2488,16.6
frame,lgw,Year 1, spring 6, Saturday,2489,16.7
frame,lgw,Year 1, spring 6, Saturday,2490,16.7
frame,lgw,Year 1, spring 6, Saturday,2491,16.7
frame,lgw,Year 1, spring 6, Saturday,2492,16.6
frame,lgw,Year 1, spring 6, Saturday,2493,16.7
frame,lgw,Year 1, spring 6, Saturday,2494,16.7
frame,lgw,Year 1, spring 6, Saturday,2495,16.7
frame,lgw,Year 1, spring 6, Saturday,2496,16.6
frame,lgw,Year 1, spring 6, Saturday,2497,16.6
frame,lgw,Year 1, spring 6, Saturday,2498,16.8
frame,lgw,Year 1, spring 6, Saturday,2499,16.5
frame,lgw,Year 1, spring 6, Saturday,2500,16.7
frame,lgw,Year 1, spring 6, Saturday,2501,16.6
frame,lgw,Year 1, spring 6, Saturday,2502,16.7
frame,lgw,Year 1, spring 6, Saturday,2503,16.8
frame,lgw,Year 1, spring 6, Saturday,2504,16.5
frame,lgw,Year 1, spring 6, Saturday,2505,16.7
frame,lgw,Year 1, spring 6, Saturday,2506,16.6
frame,lgw,Year 1, spring 6, Saturday,2507,16.7
frame,lgw,Year 1, spring 6, Saturday,2508,16.7
frame,lgw,Year 1, spring 6, Saturday,2509,16.6
frame,lgw,Year 1, spring 6, Saturday,2510,16.8
frame,lgw,Year 1, spring 6, Saturday,2511,16.6
frame,lgw,Year 1, spring 6, Saturday,2512,16.6
frame,lgw,Year 1, spring 6, Saturday,2513,16.7
frame,lgw,Year 1, spring 6, Saturday,2514,16.6
frame,lgw,Year 1, spring 6, Saturday,2515,16.8
frame,lgw,Year 1, spring 6, Saturday,2516,16.7
frame,lgw,Year 1, spring 6, Saturday,2517,16.6
frame,lgw,Year 1, spring 6, Saturday,2518,16.7
frame,lgw,Year 1, spring 6, Saturday,2519,16.5
frame,lgw,Year 1, spring 6, Saturday,2520,16.7
frame,lgw,Year 1, spring 6, Saturday,2521,16.7
frame,lgw,Year 1, spring 6, Saturday,2522,17.4
frame,lgw,Year 1, spring 6, Saturday,2523,15.8
frame,lgw,Year 1, spring 6, Saturday,2524,16.7
frame,lgw,Year 1, spring 6, Saturday,2525,16.6
