kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 4, Thursday,5308,16.6
frame,lgw,Year 1, spring 4, Thursday,5309,16.8
frame,lgw,Year 1, spring 4, Thursday,5310,16.6
frame,lgw,Year 1, spring 4, Thursday,5311,16.6
frame,lgw,Year 1, spring 4, Thursday,5312,16.6
frame,lgw,Year 1, spring 4, Thursday,5313,16.7
frame,lgw,Year 1, spring 4, Thursday,5314,16.6
frame,lgw,Year 1, spring 4, Thursday,5315,16.7
frame,lgw,Year 1, spring 4, Thursday,5316,16.7
frame,lgw,Year 1, spring 4, Thursday,5317,16.6
frame,lgw,Year 1, spring 4, Thursday,5318,16.7
frame,lgw,Year 1, spring 4, Thursday,5319,16.7
frame,lgw,Year 1, spring 4, Thursday,5320,16.7
frame,lgw,Year 1, spring 4, Thursday,5321,16.9
frame,lgw,Year 1, spring 4, Thursday,5322,16.5
frame,lgw,Year 1, spring 4, Thursday,5323,16.6
frame,lgw,Year 1, spring 4, Thursday,5324,16.7
frame,lgw,Year 1, spring 4, Thursday,5325,16.7
frame,lgw,Year 1, spring 4, Thursday,5326,16.6
frame,lgw,Year 1, spring 4, Thursday,5327,16.6
frame,lgw,Year 1, spring 4, Thursday,5328,16.7
frame,lgw,Year 1, spring 4, Thursday,5329,16.7
frame,lgw,Year 1, spring 4, Thursday,5330,16.7
frame,lgw,Year 1, spring 4, Thursday,5331,16.8
frame,lgw,Year 1, spring 4, Thursday,5332,16.6
frame,lgw,Year 1, spring 4, Thursday,5333,16.8
frame,lgw,Year 1, spring 4, Thursday,5334,16.6
frame,lgw,Year 1, spring 4, Thursday,5335,16.7
frame,lgw,Year 1, spring 4, Thursday,5336,16.6
frame,lgw,Year 1, spring 4, Thursday,5337,16.6
frame,lgw,Year 1, spring 4, Thursday,5338,16.8
frame,lgw,Year 1, spring 4, Thursday,5339,16.6
frame,lgw,Year 1, spring 4, Thursday,5340,16.7
frame,lgw,Year 1, spring 4, Thursday,5341,16.7
frame,lgw,Year 1, spring 4, Thursday,5342,16.8
frame,lgw,Year 1, spring 4, Thursday,5343,16.6
frame,lgw,Year 1, spring 4, Thursday,5344,16.6
frame,lgw,Year 1, spring 4, Thursday,5345,16.7
frame,lgw,Year 1, spring 4, Thursday,5346,16.7
frame,lgw,Year 1, spring 4, Thursday,5347,16.7
frame,lgw,Year 1, spring 4, Thursday,5348,16.7
frame,lgw,Year 1, spring 4, Thursday,5349,16.9
frame,lgw,Year 1, spring 4, Thursday,5350,17.3
frame,lgw,Year 1, spring 4, Thursday,5351,15.8
frame,lgw,Year 1, spring 4, Thursday,5352,17.0
frame,lgw,Year 1, spring 4, Thursday,5353,16.4
frame,lgw,Year 1, spring 4, Thursday,5354,16.6
frame,lgw,Year 1, spring 4, Thursday,5355,16.7
frame,lgw,Year 1, spring 4, Thursday,5356,16.7
frame,lgw,Year 1, spring 4, Thursday,5357,16.6
frame,lgw,Year 1, spring 4, Thursday,5358,16.8
frame,lgw,Year 1, spring 4, Thursday,5359,16.6
frame,lgw,Year 1, spring 4, Thursday,5360,16.7
frame,lgw,Year 1, spring 4, Thursday,5361,16.7
frame,lgw,Year 1, spring 4, Thursday,5362,16.5
frame,lgw,Year 1, spring 4, Thursday,5363,16.8
frame,lgw,Year 1, spring 4, Thursday,5364,16.7
frame,lgw,Year 1, spring 4, Thursday,5365,16.5
frame,lgw,Year 1, spring 4, Thursday,5366,16.7
frame,lgw,Year 1, spring 4, Thursday,5367,16.6
frame,lgw,Year 1, spring 4, Thursday,5368,16.8
frame,lgw,Year 1, spring 4, Thursday,5369,16.6
frame,lgw,Year 1, spring 4, Thursday,5370,16.6
frame,lgw,Year 1, spring 4, Thursday,5371,16.7
frame,lgw,Year 1, spring 4, Thursday,5372,16.7
frame,lgw,Year 1, spring 4, Thursday,5373,16.6
frame,lgw,Year 1, spring 4, Thursday,5374,16.8
frame,lgw,Year 1, spring 4, Thursday,5375,16.8
frame,lgw,Year 1, spring 4, Thursday,5376,16.6
frame,lgw,Year 1, spring 4, Thursday,5377,16.7
frame,lgw,Year 1, spring 4, Thursday,5378,16.6
frame,lgw,Year 1, spring 4, Thursday,5379,16.8
frame,lgw,Year 1, spring 4, Thursday,5380,16.5
frame,lgw,Year 1, spring 4, Thursday,5381,17.0
frame,lgw,Year 1, spring 4, Thursday,5382,21.0
frame,lgw,Year 1, spring 4, Thursday,5383,12.1
frame,lgw,Year 1, spring 4, Thursday,5384,17.1
frame,lgw,Year 1, spring 4, Thursday,5385,16.3
frame,lgw,Year 1, spring 4, Thursday,5386,16.8
frame,lgw,Year 1, spring 4, Thursday,5387,16.5
