kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 1, Monday,5343,0.2
frame,lgw,Year 1, spring 1, Monday,5344,21.1
frame,lgw,Year 1, spring 1, Monday,5345,21.4
frame,lgw,Year 1, spring 1, Monday,5346,21.1
frame,lgw,Year 1, spring 1, Monday,5347,21.2
frame,lgw,Year 1, spring 1, Monday,5348,0.1
frame,lgw,Year 1, spring 1, Monday,5349,21.0
frame,lgw,Year 1, spring 1, Monday,5350,20.8
frame,lgw,Year 1, spring 1, Monday,5351,20.8
frame,lgw,Year 1, spring 1, Monday,5352,20.9
frame,lgw,Year 1, spring 1, Monday,5353,0.1
frame,lgw,Year 1, spring 1, Monday,5354,21.0
frame,lgw,Year 1, spring 1, Monday,5355,20.9
frame,lgw,Year 1, spring 1, Monday,5356,21.0
frame,lgw,Year 1, spring 1, Monday,5357,0.1
frame,lgw,Year 1, spring 1, Monday,5358,21.5
frame,lgw,Year 1, spring 1, Monday,5359,21.2
frame,lgw,Year 1, spring 1, Monday,5360,21.5
frame,lgw,Year 1, spring 1, Monday,5361,21.8
frame,lgw,Year 1, spring 1, Monday,5362,0.1
frame,lgw,Year 1, spring 1, Monday,5363,20.8
frame,lgw,Year 1, spring 1, Monday,5364,20.9
frame,lgw,Year 1, spring 1, Monday,5365,21.4
frame,lgw,Year 1, spring 1, Monday,5366,20.8
frame,lgw,Year 1, spring 1, Monday,5367,0.1
frame,lgw,Year 1, spring 1, Monday,5368,21.4
frame,lgw,Year 1, spring 1, Monday,5369,21.1
frame,lgw,Year 1, spring 1, Monday,5370,21.4
frame,lgw,Year 1, spring 1, Monday,5371,0.1
frame,lgw,Year 1, spring 1, Monday,5372,21.2
frame,lgw,Year 1, spring 1, Monday,5373,20.9
frame,lgw,Year 1, spring 1, Monday,5374,21.3
frame,lgw,Year 1, spring 1, Monday,5375,21.9
frame,lgw,Year 1, spring 1, Monday,5376,0.1
frame,lgw,Year 1, spring 1, Monday,5377,21.0
frame,lgw,Year 1, spring 1, Monday,5378,21.8
frame,lgw,Year 1, spring 1, Monday,5379,21.0
frame,lgw,Year 1, spring 1, Monday,5380,0.1
frame,lgw,Year 1, spring 1, Monday,5381,20.9
frame,lgw,Year 1, spring 1, Monday,5382,20.9
frame,lgw,Year 1, spring 1, Monday,5383,21.0
frame,lgw,Year 1, spring 1, Monday,5384,21.4
frame,lgw,Year 1, spring 1, Monday,5385,0.1
frame,lgw,Year 1, spring 1, Monday,5386,21.4
frame,lgw,Year 1, spring 1, Monday,5387,22.0
frame,lgw,Year 1, spring 1, Monday,5388,21.8
frame,lgw,Year 1, spring 1, Monday,5389,0.2
frame,lgw,Year 1, spring 1, Monday,5390,20.9
frame,lgw,Year 1, spring 1, Monday,5391,21.8
frame,lgw,Year 1, spring 1, Monday,5392,21.0
frame,lgw,Year 1, spring 1, Monday,5393,21.3
frame,lgw,Year 1, spring 1, Monday,5394,0.1
frame,lgw,Year 1, spring 1, Monday,5395,21.0
frame,lgw,Year 1, spring 1, Monday,5396,21.4
frame,lgw,Year 1, spring 1, Monday,5397,21.8
frame,lgw,Year 1, spring 1, Monday,5398,21.0
frame,lgw,Year 1, spring 1, Monday,5399,0.1
frame,lgw,Year 1, spring 1, Monday,5400,20.9
frame,lgw,Year 1, spring 1, Monday,5401,21.1
frame,lgw,Year 1, spring 1, Monday,5402,20.8
frame,lgw,Year 1, spring 1, Monday,5403,0.1
frame,lgw,Year 1, spring 1, Monday,5404,21.2
frame,lgw,Year 1, spring 1, Monday,5405,21.2
frame,lgw,Year 1, spring 1, Monday,5406,21.1
frame,lgw,Year 1, spring 1, Monday,5407,21.4
frame,lgw,Year 1, spring 1, Monday,5408,0.1
frame,lgw,Year 1, spring 1, Monday,5409,21.1
frame,lgw,Year 1, spring 1, Monday,5410,21.0
frame,lgw,Year 1, spring 1, Monday,5411,21.0
frame,lgw,Year 1, spring 1, Monday,5412,21.1
frame,lgw,Year 1, spring 1, Monday,5413,0.1
frame,lgw,Year 1, spring 1, Monday,5414,21.0
frame,lgw,Year 1, spring 1, Monday,5415,21.0
frame,lgw,Year 1, spring 1, Monday,5416,21.7
frame,lgw,Year 1, spring 1, Monday,5417,20.8
frame,lgw,Year 1, spring 1, Monday,5418,0.1
frame,lgw,Year 1, spring 1, Monday,5419,21.2
frame,lgw,Year 1, spring 1, Monday,5420,21.4
frame,lgw,Year 1, spring 1, Monday,5421,22.1
frame,lgw,Year 1, spring 1, Monday,5422,0.1
frame,lgw,Year 1, spring 1, Monday,5423,20.8
frame,lgw,Year 1, spring 1, Monday,5424,21.8
frame,lgw,Year 1, spring 1, Monday,5425,21.5
frame,lgw,Year 1, spring 1, Monday,5426,21.0
frame,lgw,Year 1, spring 1, Monday,5427,0.1
frame,lgw,Year 1, spring 1, Monday,5428,20.8
frame,lgw,Year 1, spring 1, Monday,5429,21.0
frame,lgw,Year 1, spring 1, Monday,5430,21.2
frame,lgw,Year 1, spring 1, Monday,5431,0.2
frame,lgw,Year 1, spring 1, Monday,5432,21.3
frame,lgw,Year 1, spring 1, Monday,5433,20.9
frame,lgw,Year 1, spring 1, Monday,5434,20.9
frame,lgw,Year 1, spring 1, Monday,5435,21.0
frame,lgw,Year 1, spring 1, Monday,5436,0.1
frame,lgw,Year 1, spring 1, Monday,5437,21.3
frame,lgw,Year 1, spring 1, Monday,5438,21.2
frame,lgw,Year 1, spring 1, Monday,5439,21.0
frame,lgw,Year 1, spring 1, Monday,5440,20.9
frame,lgw,Year 1, spring 1, Monday,5441,0.1
frame,lgw,Year 1, spring 1, Monday,5442,21.2
frame,lgw,Year 1, spring 1, Monday,5443,20.9
frame,lgw,Year 1, spring 1, Monday,5444,21.3
frame,lgw,Year 1, spring 1, Monday,5445,20.8
frame,lgw,Year 1, spring 1, Monday,5446,0.1
frame,lgw,Year 1, spring 1, Monday,5447,22.0
frame,lgw,Year 1, spring 1, Monday,5448,21.1
frame,lgw,Year 1, spring 1, Monday,5449,21.1
frame,lgw,Year 1, spring 1, Monday,5450,0.1
frame,lgw,Year 1, spring 1, Monday,5451,21.5
frame,lgw,Year 1, spring 1, Monday,5452,21.2
frame,lgw,Year 1, spring 1, Monday,5453,21.2
frame,lgw,Year 1, spring 1, Monday,5454,22.0
frame,lgw,Year 1, spring 1, Monday,5455,0.1
frame,lgw,Year 1, spring 1, Monday,5456,21.1
frame,lgw,Year 1, spring 1, Monday,5457,21.0
frame,lgw,Year 1, spring 1, Monday,5458,20.8
frame,lgw,Year 1, spring 1, Monday,5459,0.3
frame,lgw,Year 1, spring 1, Monday,5460,21.0
frame,lgw,Year 1, spring 1, Monday,5461,23.1
frame,lgw,Year 1, spring 1, Monday,5462,21.1
frame,lgw,Year 1, spring 1, Monday,5463,21.4
frame,lgw,Year 1, spring 1, Monday,5464,0.1
frame,lgw,Year 1, spring 1, Monday,5465,21.3
frame,lgw,Year 1, spring 1, Monday,5466,21.2
frame,lgw,Year 1, spring 1, Monday,5467,23.3
frame,lgw,Year 1, spring 1, Monday,5468,0.1
frame,lgw,Year 1, spring 1, Monday,5469,21.2
frame,lgw,Year 1, spring 1, Monday,5470,21.4
frame,lgw,Year 1, spring 1, Monday,5471,21.0
frame,lgw,Year 1, spring 1, Monday,5472,0.1
frame,lgw,Year 1, spring 1, Monday,5473,21.3
frame,lgw,Year 1, spring 1, Monday,5474,24.3
frame,lgw,Year 1, spring 1, Monday,5475,21.5
frame,lgw,Year 1, spring 1, Monday,5476,0.1
frame,lgw,Year 1, spring 1, Monday,5477,21.2
frame,lgw,Year 1, spring 1, Monday,5478,21.3
frame,lgw,Year 1, spring 1, Monday,5479,21.1
frame,lgw,Year 1, spring 1, Monday,5480,21.3
frame,lgw,Year 1, spring 1, Monday,5481,0.1
frame,lgw,Year 1, spring 1, Monday,5482,21.0
frame,lgw,Year 1, spring 1, Monday,5483,21.0
frame,lgw,Year 1, spring 1, Monday,5484,20.9
frame,lgw,Year 1, spring 1, Monday,5485,21.1
frame,lgw,Year 1, spring 1, Monday,5486,0.1
frame,lgw,Year 1, spring 1, Monday,5487,21.1
frame,lgw,Year 1, spring 1, Monday,5488,21.0
frame,lgw,Year 1, spring 1, Monday,5489,21.2
frame,lgw,Year 1, spring 1, Monday,5490,21.0
frame,lgw,Year 1, spring 1, Monday,5491,0.1
frame,lgw,Year 1, spring 1, Monday,5492,21.6
frame,lgw,Year 1, spring 1, Monday,5493,21.3
frame,lgw,Year 1, spring 1, Monday,5494,21.2
frame,lgw,Year 1, spring 1, Monday,5495,0.2
frame,lgw,Year 1, spring 1, Monday,5496,22.6
frame,lgw,Year 1, spring 1, Monday,5497,21.2
frame,lgw,Year 1, spring 1, Monday,5498,21.1
frame,lgw,Year 1, spring 1, Monday,5499,0.1
frame,lgw,Year 1, spring 1, Monday,5500,21.5
frame,lgw,Year 1, spring 1, Monday,5501,21.0
frame,lgw,Year 1, spring 1, Monday,5502,22.5
frame,lgw,Year 1, spring 1, Monday,5503,21.1
frame,lgw,Year 1, spring 1, Monday,5504,0.1
frame,lgw,Year 1, spring 1, Monday,5505,21.2
frame,lgw,Year 1, spring 1, Monday,5506,21.3
frame,lgw,Year 1, spring 1, Monday,5507,20.8
frame,lgw,Year 1, spring 1, Monday,5508,20.9
frame,lgw,Year 1, spring 1, Monday,5509,0.1
frame,lgw,Year 1, spring 1, Monday,5510,21.4
frame,lgw,Year 1, spring 1, Monday,5511,21.3
frame,lgw,Year 1, spring 1, Monday,5512,21.3
frame,lgw,Year 1, spring 1, Monday,5513,0.1
frame,lgw,Year 1, spring 1, Monday,5514,21.0
frame,lgw,Year 1, spring 1, Monday,5515,20.9
frame,lgw,Year 1, spring 1, Monday,5516,21.2
frame,lgw,Year 1, spring 1, Monday,5517,20.9
frame,lgw,Year 1, spring 1, Monday,5518,0.1
frame,lgw,Year 1, spring 1, Monday,5519,20.8
frame,lgw,Year 1, spring 1, Monday,5520,21.3
frame,lgw,Year 1, spring 1, Monday,5521,22.5
frame,lgw,Year 1, spring 1, Monday,5522,0.1
frame,lgw,Year 1, spring 1, Monday,5523,21.1
frame,lgw,Year 1, spring 1, Monday,5524,21.0
frame,lgw,Year 1, spring 1, Monday,5525,21.0
frame,lgw,Year 1, spring 1, Monday,5526,21.4
frame,lgw,Year 1, spring 1, Monday,5527,0.1
frame,lgw,Year 1, spring 1, Monday,5528,21.6
frame,lgw,Year 1, spring 1, Monday,5529,20.8
frame,lgw,Year 1, spring 1, Monday,5530,20.7
frame,lgw,Year 1, spring 1, Monday,5531,21.9
frame,lgw,Year 1, spring 1, Monday,5532,0.1
