kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 5, Friday,4231,16.7
frame,lgw,Year 1, spring 5, Friday,4232,16.6
frame,lgw,Year 1, spring 5, Friday,4233,17.7
frame,lgw,Year 1, spring 5, Friday,4234,15.8
frame,lgw,Year 1, spring 5, Friday,4235,16.7
frame,lgw,Year 1, spring 5, Friday,4236,16.7
frame,lgw,Year 1, spring 5, Friday,4237,16.8
frame,lgw,Year 1, spring 5, Friday,4238,16.5
frame,lgw,Year 1, spring 5, Friday,4239,16.6
frame,lgw,Year 1, spring 5, Friday,4240,16.6
frame,lgw,Year 1, spring 5, Friday,4241,16.7
frame,lgw,Year 1, spring 5, Friday,4242,16.7
frame,lgw,Year 1, spring 5, Friday,4243,16.6
frame,lgw,Year 1, spring 5, Friday,4244,16.7
frame,lgw,Year 1, spring 5, Friday,4245,16.8
frame,lgw,Year 1, spring 5, Friday,4246,16.6
frame,lgw,Year 1, spring 5, Friday,4247,20.6
frame,lgw,Year 1, spring 5, Friday,4248,13.2
frame,lgw,Year 1, spring 5, Friday,4249,16.0
frame,lgw,Year 1, spring 5, Friday,4250,16.6
frame,lgw,Year 1, spring 5, Friday,4251,16.7
frame,lgw,Year 1, spring 5, Friday,4252,17.3
frame,lgw,Year 1, spring 5, Friday,4253,16.1
frame,lgw,Year 1, spring 5, Friday,4254,16.6
frame,lgw,Year 1, spring 5, Friday,4255,16.7
frame,lgw,Year 1, spring 5, Friday,4256,16.7
frame,lgw,Year 1, spring 5, Friday,4257,16.6
frame,lgw,Year 1, spring 5, Friday,4258,16.7
frame,lgw,Year 1, spring 5, Friday,4259,16.8
frame,lgw,Year 1, spring 5, Friday,4260,16.6
frame,lgw,Year 1, spring 5, Friday,4261,16.6
frame,lgw,Year 1, spring 5, Friday,4262,16.7
frame,lgw,Year 1, spring 5, Friday,4263,16.7
frame,lgw,Year 1, spring 5, Friday,4264,17.4
frame,lgw,Year 1, spring 5, Friday,4265,15.9
frame,lgw,Year 1, spring 5, Friday,4266,16.7
frame,lgw,Year 1, spring 5, Friday,4267,16.7
frame,lgw,Year 1, spring 5, Friday,4268,16.6
frame,lgw,Year 1, spring 5, Friday,4269,16.7
frame,lgw,Year 1, spring 5, Friday,4270,16.8
frame,lgw,Year 1, spring 5, Friday,4271,16.5
frame,lgw,Year 1, spring 5, Friday,4272,16.6
frame,lgw,Year 1, spring 5, Friday,4273,16.7
frame,lgw,Year 1, spring 5, Friday,4274,16.7
frame,lgw,Year 1, spring 5, Friday,4275,16.6
frame,lgw,Year 1, spring 5, Friday,4276,16.7
frame,lgw,Year 1, spring 5, Friday,4277,16.7
frame,lgw,Year 1, spring 5, Friday,4278,16.6
frame,lgw,Year 1, spring 5, Friday,4279,16.7
frame,lgw,Year 1, spring 5, Friday,4280,16.7
frame,lgw,Year 1, spring 5, Friday,4281,16.7
frame,lgw,Year 1, spring 5, Friday,4282,16.7
frame,lgw,Year 1, spring 5, Friday,4283,16.7
frame,lgw,Year 1, spring 5, Friday,4284,16.7
frame,lgw,Year 1, spring 5, Friday,4285,16.7
frame,lgw,Year 1, spring 5, Friday,4286,16.6
frame,lgw,Year 1, spring 5, Friday,4287,16.6
frame,lgw,Year 1, spring 5, Friday,4288,16.7
frame,lgw,Year 1, spring 5, Friday,4289,16.6
frame,lgw,Year 1, spring 5, Friday,4290,16.7
frame,lgw,Year 1, spring 5, Friday,4291,16.7
frame,lgw,Year 1, spring 5, Friday,4292,16.6
frame,lgw,Year 1, spring 5, Friday,4293,16.7
frame,lgw,Year 1, spring 5, Friday,4294,16.8
frame,lgw,Year 1, spring 5, Friday,4295,16.6
frame,lgw,Year 1, spring 5, Friday,4296,16.7
frame,lgw,Year 1, spring 5, Friday,4297,17.0
frame,lgw,Year 1, spring 5, Friday,4298,16.3
frame,lgw,Year 1, spring 5, Friday,4299,16.7
frame,lgw,Year 1, spring 5, Friday,4300,16.6
frame,lgw,Year 1, spring 5, Friday,4301,16.7
frame,lgw,Year 1, spring 5, Friday,4302,16.7
frame,lgw,Year 1, spring 5, Friday,4303,16.7
frame,lgw,Year 1, spring 5, Friday,4304,16.6
frame,lgw,Year 1, spring 5, Friday,4305,16.7
frame,lgw,Year 1, spring 5, Friday,4306,16.6
frame,lgw,Year 1, spring 5, Friday,4307,16.7
frame,lgw,Year 1, spring 5, Friday,4308,16.7
frame,lgw,Year 1, spring 5, Friday,4309,16.8
frame,lgw,Year 1, spring 5, Friday,4310,16.6
frame,lgw,Year 1, spring 5, Friday,4311,16.6
frame,lgw,Year 1, spring 5, Friday,4312,16.7
frame,lgw,Year 1, spring 5, Friday,4313,16.6
frame,lgw,Year 1, spring 5, Friday,4314,16.7
