kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 7, Sunday,4254,16.7
frame,lgw,Year 1, spring 7, Sunday,4255,16.7
frame,lgw,Year 1, spring 7, Sunday,4256,16.7
frame,lgw,Year 1, spring 7, Sunday,4257,16.8
frame,lgw,Year 1, spring 7, Sunday,4258,16.7
frame,lgw,Year 1, spring 7, Sunday,4259,16.6
frame,lgw,Year 1, spring 7, Sunday,4260,16.6
frame,lgw,Year 1, spring 7, Sunday,4261,16.8
frame,lgw,Year 1, spring 7, Sunday,4262,16.5
frame,lgw,Year 1, spring 7, Sunday,4263,16.7
frame,lgw,Year 1, spring 7, Sunday,4264,16.6
frame,lgw,Year 1, spring 7, Sunday,4265,16.6
frame,lgw,Year 1, spring 7, Sunday,4266,16.7
frame,lgw,Year 1, spring 7, Sunday,4267,16.7
frame,lgw,Year 1, spring 7, Sunday,4268,16.7
frame,lgw,Year 1, spring 7, Sunday,4269,16.7
frame,lgw,Year 1, spring 7, Sunday,4270,16.8
frame,lgw,Year 1, spring 7, Sunday,4271,16.6
frame,lgw,Year 1, spring 7, Sunday,4272,16.7
frame,lgw,Year 1, spring 7, Sunday,4273,17.2
frame,lgw,Year 1, spring 7, Sunday,4274,16.5
frame,lgw,Year 1, spring 7, Sunday,4275,16.1
frame,lgw,Year 1, spring 7, Sunday,4276,16.7
frame,lgw,Year 1, spring 7, Sunday,4277,16.8
frame,lgw,Year 1, spring 7, Sunday,4278,16.6
frame,lgw,Year 1, spring 7, Sunday,4279,16.7
frame,lgw,Year 1, spring 7, Sunday,4280,16.6
frame,lgw,Year 1, spring 7, Sunday,4281,16.7
frame,lgw,Year 1, spring 7, Sunday,4282,16.7
frame,lgw,Year 1, spring 7, Sunday,4283,17.0
frame,lgw,Year 1, spring 7, Sunday,4284,16.4
frame,lgw,Year 1, spring 7, Sunday,4285,16.7
frame,lgw,Year 1, spring 7, Sunday,4286,16.6
frame,lgw,Year 1, spring 7, Sunday,4287,17.6
frame,lgw,Year 1, spring 7, Sunday,4288,15.7
frame,lgw,Year 1, spring 7, Sunday,4289,16.6
frame,lgw,Year 1, spring 7, Sunday,4290,16.7
frame,lgw,Year 1, spring 7, Sunday,4291,16.8
frame,lgw,Year 1, spring 7, Sunday,4292,16.7
frame,lgw,Year 1, spring 7, Sunday,4293,17.3
frame,lgw,Year 1, spring 7, Sunday,4294,15.9
frame,lgw,Year 1, spring 7, Sunday,4295,16.7
frame,lgw,Year 1, spring 7, Sunday,4296,17.0
frame,lgw,Year 1, spring 7, Sunday,4297,16.9
frame,lgw,Year 1, spring 7, Sunday,4298,16.2
frame,lgw,Year 1, spring 7, Sunday,4299,16.7
frame,lgw,Year 1, spring 7, Sunday,4300,16.6
frame,lgw,Year 1, spring 7, Sunday,4301,17.7
