kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 8, Monday,4414,16.6
frame,lgw,Year 1, spring 8, Monday,4415,16.7
frame,lgw,Year 1, spring 8, Monday,4416,16.7
frame,lgw,Year 1, spring 8, Monday,4417,17.2
frame,lgw,Year 1, spring 8, Monday,4418,16.1
frame,lgw,Year 1, spring 8, Monday,4419,16.7
frame,lgw,Year 1, spring 8, Monday,4420,16.7
frame,lgw,Year 1, spring 8, Monday,4421,16.9
frame,lgw,Year 1, spring 8, Monday,4422,16.4
frame,lgw,Year 1, spring 8, Monday,4423,16.8
frame,lgw,Year 1, spring 8, Monday,4424,16.7
frame,lgw,Year 1, spring 8, Monday,4425,16.9
frame,lgw,Year 1, spring 8, Monday,4426,16.2
frame,lgw,Year 1, spring 8, Monday,4427,16.8
frame,lgw,Year 1, spring 8, Monday,4428,16.6
frame,lgw,Year 1, spring 8, Monday,4429,16.7
frame,lgw,Year 1, spring 8, Monday,4430,16.7
frame,lgw,Year 1, spring 8, Monday,4431,16.6
frame,lgw,Year 1, spring 8, Monday,4432,16.7
frame,lgw,Year 1, spring 8, Monday,4433,16.7
frame,lgw,Year 1, spring 8, Monday,4434,16.8
frame,lgw,Year 1, spring 8, Monday,4435,17.4
frame,lgw,Year 1, spring 8, Monday,4436,15.9
frame,lgw,Year 1, spring 8, Monday,4437,16.6
frame,lgw,Year 1, spring 8, Monday,4438,16.7
frame,lgw,Year 1, spring 8, Monday,4439,16.6
frame,lgw,Year 1, spring 8, Monday,4440,16.7
frame,lgw,Year 1, spring 8, Monday,4441,16.7
frame,lgw,Year 1, spring 8, Monday,4442,16.6
frame,lgw,Year 1, spring 8, Monday,4443,16.7
frame,lgw,Year 1, spring 8, Monday,4444,16.7
frame,lgw,Year 1, spring 8, Monday,4445,16.6
frame,lgw,Year 1, spring 8, Monday,4446,16.8
frame,lgw,Year 1, spring 8, Monday,4447,17.0
frame,lgw,Year 1, spring 8, Monday,4448,16.2
frame,lgw,Year 1, spring 8, Monday,4449,16.7
frame,lgw,Year 1, spring 8, Monday,4450,17.7
frame,lgw,Year 1, spring 8, Monday,4451,15.7
frame,lgw,Year 1, spring 8, Monday,4452,16.7
frame,lgw,Year 1, spring 8, Monday,4453,16.6
frame,lgw,Year 1, spring 8, Monday,4454,16.7
frame,lgw,Year 1, spring 8, Monday,4455,16.7
frame,lgw,Year 1, spring 8, Monday,4456,16.6
frame,lgw,Year 1, spring 8, Monday,4457,16.7
frame,lgw,Year 1, spring 8, Monday,4458,16.6
frame,lgw,Year 1, spring 8, Monday,4459,16.8
frame,lgw,Year 1, spring 8, Monday,4460,16.7
frame,lgw,Year 1, spring 8, Monday,4461,17.0
frame,lgw,Year 1, spring 8, Monday,4462,16.4
frame,lgw,Year 1, spring 8, Monday,4463,16.5
frame,lgw,Year 1, spring 8, Monday,4464,16.7
frame,lgw,Year 1, spring 8, Monday,4465,16.6
frame,lgw,Year 1, spring 8, Monday,4466,16.7
frame,lgw,Year 1, spring 8, Monday,4467,16.8
frame,lgw,Year 1, spring 8, Monday,4468,16.6
frame,lgw,Year 1, spring 8, Monday,4469,16.7
frame,lgw,Year 1, spring 8, Monday,4470,16.7
frame,lgw,Year 1, spring 8, Monday,4471,18.1
frame,lgw,Year 1, spring 8, Monday,4472,15.2
frame,lgw,Year 1, spring 8, Monday,4473,16.6
frame,lgw,Year 1, spring 8, Monday,4474,34.8
frame,lgw,Year 1, spring 8, Monday,4475,11.7
frame,lgw,Year 1, spring 8, Monday,4476,3.3
frame,lgw,Year 1, spring 8, Monday,4477,16.7
frame,lgw,Year 1, spring 8, Monday,4478,16.9
frame,lgw,Year 1, spring 8, Monday,4479,16.4
frame,lgw,Year 1, spring 8, Monday,4480,16.7
frame,lgw,Year 1, spring 8, Monday,4481,16.7
frame,lgw,Year 1, spring 8, Monday,4482,16.6
frame,lgw,Year 1, spring 8, Monday,4483,16.6
frame,lgw,Year 1, spring 8, Monday,4484,16.7
frame,lgw,Year 1, spring 8, Monday,4485,16.7
frame,lgw,Year 1, spring 8, Monday,4486,16.7
frame,lgw,Year 1, spring 8, Monday,4487,16.7
frame,lgw,Year 1, spring 8, Monday,4488,16.7
frame,lgw,Year 1, spring 8, Monday,4489,19.5
frame,lgw,Year 1, spring 8, Monday,4490,13.7
frame,lgw,Year 1, spring 8, Monday,4491,16.7
frame,lgw,Year 1, spring 8, Monday,4492,16.6
frame,lgw,Year 1, spring 8, Monday,4493,16.8
frame,lgw,Year 1, spring 8, Monday,4494,16.5
frame,lgw,Year 1, spring 8, Monday,4495,16.7
frame,lgw,Year 1, spring 8, Monday,4496,16.6
frame,lgw,Year 1, spring 8, Monday,4497,16.9
frame,lgw,Year 1, spring 8, Monday,4498,16.5
frame,lgw,Year 1, spring 8, Monday,4499,16.7
frame,lgw,Year 1, spring 8, Monday,4500,16.6
frame,lgw,Year 1, spring 8, Monday,4501,16.7
frame,lgw,Year 1, spring 8, Monday,4502,16.6
frame,lgw,Year 1, spring 8, Monday,4503,16.7
frame,lgw,Year 1, spring 8, Monday,4504,16.7
frame,lgw,Year 1, spring 8, Monday,4505,16.9
frame,lgw,Year 1, spring 8, Monday,4506,16.5
frame,lgw,Year 1, spring 8, Monday,4507,18.6
frame,lgw,Year 1, spring 8, Monday,4508,14.8
frame,lgw,Year 1, spring 8, Monday,4509,16.6
frame,lgw,Year 1, spring 8, Monday,4510,16.7
frame,lgw,Year 1, spring 8, Monday,4511,39.3
frame,lgw,Year 1, spring 8, Monday,4512,2.5
frame,lgw,Year 1, spring 8, Monday,4513,8.2
frame,lgw,Year 1, spring 8, Monday,4514,16.7
frame,lgw,Year 1, spring 8, Monday,4515,16.8
frame,lgw,Year 1, spring 8, Monday,4516,16.6
frame,lgw,Year 1, spring 8, Monday,4517,16.7
frame,lgw,Year 1, spring 8, Monday,4518,16.7
frame,lgw,Year 1, spring 8, Monday,4519,16.7
frame,lgw,Year 1, spring 8, Monday,4520,16.6
frame,lgw,Year 1, spring 8, Monday,4521,17.0
frame,lgw,Year 1, spring 8, Monday,4522,16.3
frame,lgw,Year 1, spring 8, Monday,4523,16.7
frame,lgw,Year 1, spring 8, Monday,4524,16.7
frame,lgw,Year 1, spring 8, Monday,4525,16.6
frame,lgw,Year 1, spring 8, Monday,4526,16.7
frame,lgw,Year 1, spring 8, Monday,4527,16.8
frame,lgw,Year 1, spring 8, Monday,4528,16.6
frame,lgw,Year 1, spring 8, Monday,4529,16.8
frame,lgw,Year 1, spring 8, Monday,4530,16.7
frame,lgw,Year 1, spring 8, Monday,4531,16.5
frame,lgw,Year 1, spring 8, Monday,4532,16.7
frame,lgw,Year 1, spring 8, Monday,4533,16.7
frame,lgw,Year 1, spring 8, Monday,4534,16.6
frame,lgw,Year 1, spring 8, Monday,4535,16.7
frame,lgw,Year 1, spring 8, Monday,4536,16.7
frame,lgw,Year 1, spring 8, Monday,4537,16.6
frame,lgw,Year 1, spring 8, Monday,4538,16.7
frame,lgw,Year 1, spring 8, Monday,4539,16.8
frame,lgw,Year 1, spring 8, Monday,4540,16.6
frame,lgw,Year 1, spring 8, Monday,4541,16.8
frame,lgw,Year 1, spring 8, Monday,4542,16.6
frame,lgw,Year 1, spring 8, Monday,4543,16.6
frame,lgw,Year 1, spring 8, Monday,4544,16.6
frame,lgw,Year 1, spring 8, Monday,4545,16.6
frame,lgw,Year 1, spring 8, Monday,4546,18.0
frame,lgw,Year 1, spring 8, Monday,4547,15.4
frame,lgw,Year 1, spring 8, Monday,4548,16.7
frame,lgw,Year 1, spring 8, Monday,4549,16.6
frame,lgw,Year 1, spring 8, Monday,4550,16.7
frame,lgw,Year 1, spring 8, Monday,4551,16.7
frame,lgw,Year 1, spring 8, Monday,4552,16.6
frame,lgw,Year 1, spring 8, Monday,4553,16.7
frame,lgw,Year 1, spring 8, Monday,4554,16.7
frame,lgw,Year 1, spring 8, Monday,4555,16.6
frame,lgw,Year 1, spring 8, Monday,4556,16.7
frame,lgw,Year 1, spring 8, Monday,4557,16.6
