kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 18, Thursday,5293,21.1
frame,lgw,Year 1, spring 18, Thursday,5294,21.3
frame,lgw,Year 1, spring 18, Thursday,5295,0.1
frame,lgw,Year 1, spring 18, Thursday,5296,21.9
frame,lgw,Year 1, spring 18, Thursday,5297,20.7
frame,lgw,Year 1, spring 18, Thursday,5298,21.1
frame,lgw,Year 1, spring 18, Thursday,5299,21.0
frame,lgw,Year 1, spring 18, Thursday,5300,0.1
frame,lgw,Year 1, spring 18, Thursday,5301,20.7
frame,lgw,Year 1, spring 18, Thursday,5302,20.8
frame,lgw,Year 1, spring 18, Thursday,5303,20.8
frame,lgw,Year 1, spring 18, Thursday,5304,21.2
frame,lgw,Year 1, spring 18, Thursday,5305,0.1
frame,lgw,Year 1, spring 18, Thursday,5306,22.1
frame,lgw,Year 1, spring 18, Thursday,5307,21.1
frame,lgw,Year 1, spring 18, Thursday,5308,21.0
frame,lgw,Year 1, spring 18, Thursday,5309,0.1
frame,lgw,Year 1, spring 18, Thursday,5310,20.9
frame,lgw,Year 1, spring 18, Thursday,5311,21.6
frame,lgw,Year 1, spring 18, Thursday,5312,21.2
frame,lgw,Year 1, spring 18, Thursday,5313,21.4
frame,lgw,Year 1, spring 18, Thursday,5314,0.1
frame,lgw,Year 1, spring 18, Thursday,5315,21.1
frame,lgw,Year 1, spring 18, Thursday,5316,20.6
frame,lgw,Year 1, spring 18, Thursday,5317,21.1
frame,lgw,Year 1, spring 18, Thursday,5318,20.9
frame,lgw,Year 1, spring 18, Thursday,5319,0.1
frame,lgw,Year 1, spring 18, Thursday,5320,20.8
frame,lgw,Year 1, spring 18, Thursday,5321,21.2
frame,lgw,Year 1, spring 18, Thursday,5322,20.8
frame,lgw,Year 1, spring 18, Thursday,5323,21.0
frame,lgw,Year 1, spring 18, Thursday,5324,0.1
frame,lgw,Year 1, spring 18, Thursday,5325,21.0
frame,lgw,Year 1, spring 18, Thursday,5326,21.6
frame,lgw,Year 1, spring 18, Thursday,5327,21.9
frame,lgw,Year 1, spring 18, Thursday,5328,0.1
frame,lgw,Year 1, spring 18, Thursday,5329,20.8
frame,lgw,Year 1, spring 18, Thursday,5330,21.2
frame,lgw,Year 1, spring 18, Thursday,5331,21.2
frame,lgw,Year 1, spring 18, Thursday,5332,21.0
frame,lgw,Year 1, spring 18, Thursday,5333,0.1
frame,lgw,Year 1, spring 18, Thursday,5334,21.2
frame,lgw,Year 1, spring 18, Thursday,5335,21.0
frame,lgw,Year 1, spring 18, Thursday,5336,21.1
frame,lgw,Year 1, spring 18, Thursday,5337,21.3
frame,lgw,Year 1, spring 18, Thursday,5338,0.1
frame,lgw,Year 1, spring 18, Thursday,5339,20.9
frame,lgw,Year 1, spring 18, Thursday,5340,21.2
frame,lgw,Year 1, spring 18, Thursday,5341,21.5
frame,lgw,Year 1, spring 18, Thursday,5342,0.1
frame,lgw,Year 1, spring 18, Thursday,5343,21.1
frame,lgw,Year 1, spring 18, Thursday,5344,20.8
frame,lgw,Year 1, spring 18, Thursday,5345,20.8
frame,lgw,Year 1, spring 18, Thursday,5346,21.3
frame,lgw,Year 1, spring 18, Thursday,5347,0.1
frame,lgw,Year 1, spring 18, Thursday,5348,21.2
frame,lgw,Year 1, spring 18, Thursday,5349,20.9
frame,lgw,Year 1, spring 18, Thursday,5350,20.8
frame,lgw,Year 1, spring 18, Thursday,5351,20.9
frame,lgw,Year 1, spring 18, Thursday,5352,0.1
frame,lgw,Year 1, spring 18, Thursday,5353,22.0
frame,lgw,Year 1, spring 18, Thursday,5354,21.6
frame,lgw,Year 1, spring 18, Thursday,5355,21.3
frame,lgw,Year 1, spring 18, Thursday,5356,0.1
frame,lgw,Year 1, spring 18, Thursday,5357,21.2
frame,lgw,Year 1, spring 18, Thursday,5358,21.6
frame,lgw,Year 1, spring 18, Thursday,5359,21.2
frame,lgw,Year 1, spring 18, Thursday,5360,21.4
frame,lgw,Year 1, spring 18, Thursday,5361,0.1
frame,lgw,Year 1, spring 18, Thursday,5362,20.8
frame,lgw,Year 1, spring 18, Thursday,5363,20.9
frame,lgw,Year 1, spring 18, Thursday,5364,21.0
frame,lgw,Year 1, spring 18, Thursday,5365,20.6
frame,lgw,Year 1, spring 18, Thursday,5366,0.1
frame,lgw,Year 1, spring 18, Thursday,5367,21.0
frame,lgw,Year 1, spring 18, Thursday,5368,21.0
frame,lgw,Year 1, spring 18, Thursday,5369,21.1
frame,lgw,Year 1, spring 18, Thursday,5370,21.3
frame,lgw,Year 1, spring 18, Thursday,5371,0.1
frame,lgw,Year 1, spring 18, Thursday,5372,21.3
frame,lgw,Year 1, spring 18, Thursday,5373,21.1
frame,lgw,Year 1, spring 18, Thursday,5374,20.6
frame,lgw,Year 1, spring 18, Thursday,5375,0.1
frame,lgw,Year 1, spring 18, Thursday,5376,20.8
frame,lgw,Year 1, spring 18, Thursday,5377,22.0
frame,lgw,Year 1, spring 18, Thursday,5378,21.0
frame,lgw,Year 1, spring 18, Thursday,5379,21.0
frame,lgw,Year 1, spring 18, Thursday,5380,0.1
frame,lgw,Year 1, spring 18, Thursday,5381,21.9
frame,lgw,Year 1, spring 18, Thursday,5382,21.0
frame,lgw,Year 1, spring 18, Thursday,5383,21.1
frame,lgw,Year 1, spring 18, Thursday,5384,20.8
frame,lgw,Year 1, spring 18, Thursday,5385,0.1
frame,lgw,Year 1, spring 18, Thursday,5386,20.7
frame,lgw,Year 1, spring 18, Thursday,5387,21.2
frame,lgw,Year 1, spring 18, Thursday,5388,20.9
frame,lgw,Year 1, spring 18, Thursday,5389,20.9
frame,lgw,Year 1, spring 18, Thursday,5390,0.1
frame,lgw,Year 1, spring 18, Thursday,5391,21.7
frame,lgw,Year 1, spring 18, Thursday,5392,21.2
frame,lgw,Year 1, spring 18, Thursday,5393,21.1
frame,lgw,Year 1, spring 18, Thursday,5394,0.1
frame,lgw,Year 1, spring 18, Thursday,5395,21.6
frame,lgw,Year 1, spring 18, Thursday,5396,20.9
frame,lgw,Year 1, spring 18, Thursday,5397,21.5
frame,lgw,Year 1, spring 18, Thursday,5398,21.0
frame,lgw,Year 1, spring 18, Thursday,5399,0.1
frame,lgw,Year 1, spring 18, Thursday,5400,21.0
frame,lgw,Year 1, spring 18, Thursday,5401,21.6
frame,lgw,Year 1, spring 18, Thursday,5402,21.4
frame,lgw,Year 1, spring 18, Thursday,5403,0.1
frame,lgw,Year 1, spring 18, Thursday,5404,21.2
frame,lgw,Year 1, spring 18, Thursday,5405,20.8
