kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 3, Wednesday,5317,16.6
frame,lgw,Year 1, spring 3, Wednesday,5318,16.7
frame,lgw,Year 1, spring 3, Wednesday,5319,16.6
frame,lgw,Year 1, spring 3, Wednesday,5320,17.5
frame,lgw,Year 1, spring 3, Wednesday,5321,16.0
frame,lgw,Year 1, spring 3, Wednesday,5322,16.7
frame,lgw,Year 1, spring 3, Wednesday,5323,18.3
frame,lgw,Year 1, spring 3, Wednesday,5324,14.9
frame,lgw,Year 1, spring 3, Wednesday,5325,16.6
frame,lgw,Year 1, spring 3, Wednesday,5326,16.7
frame,lgw,Year 1, spring 3, Wednesday,5327,16.7
frame,lgw,Year 1, spring 3, Wednesday,5328,16.7
frame,lgw,Year 1, spring 3, Wednesday,5329,16.5
frame,lgw,Year 1, spring 3, Wednesday,5330,16.7
frame,lgw,Year 1, spring 3, Wednesday,5331,16.7
frame,lgw,Year 1, spring 3, Wednesday,5332,16.7
frame,lgw,Year 1, spring 3, Wednesday,5333,16.7
frame,lgw,Year 1, spring 3, Wednesday,5334,16.7
frame,lgw,Year 1, spring 3, Wednesday,5335,17.2
frame,lgw,Year 1, spring 3, Wednesday,5336,16.2
frame,lgw,Year 1, spring 3, Wednesday,5337,16.6
frame,lgw,Year 1, spring 3, Wednesday,5338,16.7
frame,lgw,Year 1, spring 3, Wednesday,5339,16.7
frame,lgw,Year 1, spring 3, Wednesday,5340,16.6
frame,lgw,Year 1, spring 3, Wednesday,5341,16.7
frame,lgw,Year 1, spring 3, Wednesday,5342,16.7
frame,lgw,Year 1, spring 3, Wednesday,5343,18.1
frame,lgw,Year 1, spring 3, Wednesday,5344,15.2
frame,lgw,Year 1, spring 3, Wednesday,5345,16.7
frame,lgw,Year 1, spring 3, Wednesday,5346,18.3
frame,lgw,Year 1, spring 3, Wednesday,5347,15.5
frame,lgw,Year 1, spring 3, Wednesday,5348,16.5
frame,lgw,Year 1, spring 3, Wednesday,5349,19.2
frame,lgw,Year 1, spring 3, Wednesday,5350,13.9
frame,lgw,Year 1, spring 3, Wednesday,5351,16.6
frame,lgw,Year 1, spring 3, Wednesday,5352,17.5
frame,lgw,Year 1, spring 3, Wednesday,5353,15.8
frame,lgw,Year 1, spring 3, Wednesday,5354,16.7
frame,lgw,Year 1, spring 3, Wednesday,5355,23.0
frame,lgw,Year 1, spring 3, Wednesday,5356,10.4
frame,lgw,Year 1, spring 3, Wednesday,5357,16.7
frame,lgw,Year 1, spring 3, Wednesday,5358,16.6
frame,lgw,Year 1, spring 3, Wednesday,5359,16.7
frame,lgw,Year 1, spring 3, Wednesday,5360,16.9
frame,lgw,Year 1, spring 3, Wednesday,5361,16.4
frame,lgw,Year 1, spring 3, Wednesday,5362,16.8
frame,lgw,Year 1, spring 3, Wednesday,5363,16.7
frame,lgw,Year 1, spring 3, Wednesday,5364,16.6
frame,lgw,Year 1, spring 3, Wednesday,5365,16.6
